transaction_id,rule_id,severity,reason,score
T000037,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000038,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000039,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000040,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000041,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000042,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000043,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000044,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000045,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000046,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
T000047,shared_device_many_customers,HIGH,Device used by more than 4 customers,78
