case_id,transaction_id,customer_id,risk_score,decision,reason,priority,created_at,status
CASE-000031,T000038,C0016,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000032,T000037,C0015,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000033,T000033,C0011,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000034,T000034,C0012,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000035,T000044,C0022,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000036,T000035,C0013,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000037,T000036,C0014,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000038,T000040,C0018,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000039,T000039,C0017,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000040,T000081,C0110,59.4,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000041,T000087,C0044,59.33,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000042,T000261,C0051,58.98,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000043,T000085,C0078,58.73,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000044,T000528,C0044,58.6,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000045,T000064,C0036,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000046,T000061,C0033,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000047,T000060,C0032,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000048,T000069,C0041,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000049,T000067,C0039,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000050,T000066,C0038,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000051,T000058,C0030,48.75,REVIEW,"Signals: rules, graph",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000052,T000079,C0022,46.28,REVIEW,"Signals: rules, anomalies",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000053,T000029,C0066,46.03,REVIEW,"Signals: rules, anomalies",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000054,T000070,C0058,42.78,REVIEW,"Signals: rules, anomalies",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000055,T000071,C0051,42.48,REVIEW,"Signals: rules, anomalies",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000056,T000076,C0108,42.48,REVIEW,"Signals: rules, anomalies",LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000057,T000015,C0001,41.0,REVIEW,Signals: rules,LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000058,T000016,C0001,41.0,REVIEW,Signals: rules,LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000059,T000017,C0001,41.0,REVIEW,Signals: rules,LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000060,T000019,C0002,40.0,REVIEW,Signals: rules,LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000061,T000023,C0002,40.0,REVIEW,Signals: rules,LOW,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000062,T000018,C0002,40.0,REVIEW,Signals: rules,LOW,2026-05-22T14:48:39.390743+00:00,OPEN
