transaction_id,anomaly_type,anomaly_score,reason
T000041,CUSTOMER_AMOUNT_DEVIATION,55.62,Amount is 3.1x customer average
T000042,CUSTOMER_AMOUNT_DEVIATION,59.41,Amount is 3.3x customer average
T000043,CUSTOMER_AMOUNT_DEVIATION,74.71,Amount is 4.2x customer average
T000045,CUSTOMER_AMOUNT_DEVIATION,56.86,Amount is 3.2x customer average
T000046,CUSTOMER_AMOUNT_DEVIATION,70.24,Amount is 3.9x customer average
T000047,CUSTOMER_AMOUNT_DEVIATION,62.78,Amount is 3.5x customer average
T000063,CUSTOMER_AMOUNT_DEVIATION,57.68,Amount is 3.2x customer average
T000068,CUSTOMER_AMOUNT_DEVIATION,55.82,Amount is 3.1x customer average
T000070,CUSTOMER_AMOUNT_DEVIATION,61.11,Amount is 3.4x customer average
T000071,CUSTOMER_AMOUNT_DEVIATION,59.41,Amount is 3.3x customer average
T000072,CUSTOMER_AMOUNT_DEVIATION,100.0,Amount is 6.4x customer average
T000073,CUSTOMER_AMOUNT_DEVIATION,100.0,Amount is 7.5x customer average
T000074,CUSTOMER_AMOUNT_DEVIATION,100.0,Amount is 9.1x customer average
T000079,CUSTOMER_AMOUNT_DEVIATION,75.14,Amount is 4.2x customer average
T000080,CUSTOMER_AMOUNT_DEVIATION,100.0,Amount is 5.7x customer average
T000081,CUSTOMER_AMOUNT_DEVIATION,81.59,Amount is 4.5x customer average
T000082,CUSTOMER_AMOUNT_DEVIATION,73.38,Amount is 4.1x customer average
T000083,CUSTOMER_AMOUNT_DEVIATION,89.55,Amount is 5.0x customer average
T000084,CUSTOMER_AMOUNT_DEVIATION,83.25,Amount is 4.6x customer average
T000086,CUSTOMER_AMOUNT_DEVIATION,83.66,Amount is 4.6x customer average
T000087,CUSTOMER_AMOUNT_DEVIATION,67.33,Amount is 3.7x customer average
T000088,CUSTOMER_AMOUNT_DEVIATION,91.64,Amount is 5.1x customer average
T000089,CUSTOMER_AMOUNT_DEVIATION,100.0,Amount is 6.2x customer average
T000183,CUSTOMER_AMOUNT_DEVIATION,65.68,Amount is 3.6x customer average
T000195,CUSTOMER_AMOUNT_DEVIATION,72.06,Amount is 4.0x customer average
T000261,CUSTOMER_AMOUNT_DEVIATION,64.41,Amount is 3.6x customer average
T000344,CUSTOMER_AMOUNT_DEVIATION,58.99,Amount is 3.3x customer average
T000355,CUSTOMER_AMOUNT_DEVIATION,74.62,Amount is 4.1x customer average
T000408,CUSTOMER_AMOUNT_DEVIATION,56.63,Amount is 3.1x customer average
T000463,CUSTOMER_AMOUNT_DEVIATION,69.11,Amount is 3.8x customer average
T000476,CUSTOMER_AMOUNT_DEVIATION,72.51,Amount is 4.0x customer average
T000485,CUSTOMER_AMOUNT_DEVIATION,69.91,Amount is 3.9x customer average
T000527,CUSTOMER_AMOUNT_DEVIATION,66.84,Amount is 3.7x customer average
T000528,CUSTOMER_AMOUNT_DEVIATION,64.4,Amount is 3.6x customer average
T000590,CUSTOMER_AMOUNT_DEVIATION,73.02,Amount is 4.1x customer average
T000596,CUSTOMER_AMOUNT_DEVIATION,93.56,Amount is 5.2x customer average
T000699,CUSTOMER_AMOUNT_DEVIATION,57.14,Amount is 3.2x customer average
T000744,CUSTOMER_AMOUNT_DEVIATION,55.86,Amount is 3.1x customer average
T000815,CUSTOMER_AMOUNT_DEVIATION,100.0,Amount is 5.8x customer average
T000877,CUSTOMER_AMOUNT_DEVIATION,65.08,Amount is 3.6x customer average
T000888,CUSTOMER_AMOUNT_DEVIATION,57.69,Amount is 3.2x customer average
T000913,CUSTOMER_AMOUNT_DEVIATION,62.78,Amount is 3.5x customer average
T000934,CUSTOMER_AMOUNT_DEVIATION,58.57,Amount is 3.3x customer average
T000985,CUSTOMER_AMOUNT_DEVIATION,57.36,Amount is 3.2x customer average
