transaction_id,customer_id,rule_score,anomaly_score,graph_score,risk_score,decision,reason
T000075,C0119,55.0,0.0,0.0,27.5,APPROVE,Signals: rules
T000076,C0108,55.0,59.92,0.0,42.48,REVIEW,"Signals: rules, anomalies"
T000077,C0033,55.0,0.0,0.0,27.5,APPROVE,Signals: rules
T000078,C0038,55.0,0.0,0.0,27.5,APPROVE,Signals: rules
T000079,C0022,55.0,75.14,0.0,46.28,REVIEW,"Signals: rules, anomalies"
T000080,C0085,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000081,C0110,78.0,81.59,0.0,59.4,REVIEW,"Signals: rules, anomalies"
T000082,C0067,85.0,73.38,0.0,60.84,REVIEW,"Signals: rules, anomalies"
T000083,C0063,85.0,89.55,0.0,64.89,REVIEW,"Signals: rules, anomalies"
T000084,C0027,85.0,83.25,0.0,63.31,REVIEW,"Signals: rules, anomalies"
T000085,C0078,85.0,64.91,0.0,58.73,REVIEW,"Signals: rules, anomalies"
T000086,C0017,85.0,83.66,0.0,63.42,REVIEW,"Signals: rules, anomalies"
T000087,C0044,85.0,67.33,0.0,59.33,REVIEW,"Signals: rules, anomalies"
T000088,C0065,85.0,91.64,0.0,65.41,REVIEW,"Signals: rules, anomalies"
T000089,C0008,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000090,C0024,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000091,C0115,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000092,C0057,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000093,C0010,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000094,C0006,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000095,C0100,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000096,C0047,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000097,C0090,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000098,C0012,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000099,C0002,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000100,C0024,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000101,C0046,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000102,C0028,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000103,C0095,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000104,C0103,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000105,C0102,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000106,C0045,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000107,C0002,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000108,C0072,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000109,C0028,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000110,C0053,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000111,C0050,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000112,C0124,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000113,C0072,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000114,C0025,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000115,C0051,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000116,C0124,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000117,C0036,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000118,C0050,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000119,C0076,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000120,C0094,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000121,C0102,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000122,C0120,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000123,C0120,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000124,C0051,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000125,C0029,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000126,C0056,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000127,C0032,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000128,C0119,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000129,C0104,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000130,C0041,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000131,C0103,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000132,C0020,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000133,C0080,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000134,C0036,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000135,C0084,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000136,C0105,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000137,C0061,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000138,C0121,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000139,C0096,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000140,C0038,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000141,C0090,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000142,C0079,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000143,C0114,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000144,C0079,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000145,C0013,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000146,C0115,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000147,C0008,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000148,C0082,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000149,C0005,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000150,C0088,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000151,C0017,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000152,C0121,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000153,C0062,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000154,C0039,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000155,C0026,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000156,C0123,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000157,C0003,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000158,C0035,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000159,C0033,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000160,C0040,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000161,C0092,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000162,C0033,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000163,C0009,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000164,C0123,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000165,C0032,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000166,C0023,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000167,C0044,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000168,C0042,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000169,C0075,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000170,C0076,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000171,C0034,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000172,C0074,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000173,C0105,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000174,C0004,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000175,C0122,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000176,C0033,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000177,C0043,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000178,C0017,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000179,C0090,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000180,C0032,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000181,C0095,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000182,C0085,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000183,C0004,0.0,65.68,0.0,16.42,APPROVE,Signals: anomalies
T000184,C0040,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000185,C0032,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000186,C0065,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000187,C0003,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000188,C0065,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000189,C0023,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000190,C0121,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000191,C0123,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000192,C0053,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000193,C0021,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000194,C0015,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000195,C0026,0.0,72.06,0.0,18.02,APPROVE,Signals: anomalies
T000196,C0000,78.0,0.0,0.0,39.0,APPROVE,Signals: rules
T000197,C0095,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000198,C0006,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000199,C0057,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000200,C0120,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000201,C0005,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000202,C0032,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000203,C0030,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000204,C0122,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000205,C0013,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000206,C0023,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000207,C0042,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000208,C0035,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000209,C0022,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000210,C0046,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000211,C0118,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000212,C0076,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000213,C0062,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000214,C0066,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000215,C0114,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000216,C0018,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000217,C0119,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000218,C0017,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000219,C0080,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000220,C0014,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000221,C0082,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000222,C0015,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000223,C0020,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000224,C0011,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000225,C0100,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000226,C0033,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000227,C0116,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000228,C0067,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000229,C0089,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000230,C0008,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000231,C0095,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000232,C0111,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000233,C0015,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000234,C0097,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000235,C0109,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000236,C0069,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000237,C0103,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000238,C0064,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000239,C0112,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000240,C0066,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000241,C0096,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000242,C0110,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000243,C0003,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000244,C0019,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000245,C0011,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000246,C0088,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000247,C0042,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000248,C0112,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000249,C0035,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000250,C0030,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000251,C0119,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000252,C0030,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000253,C0101,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000254,C0065,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000255,C0111,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000256,C0066,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000257,C0049,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000258,C0025,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000259,C0049,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000260,C0109,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000261,C0051,85.0,65.92,0.0,58.98,REVIEW,"Signals: rules, anomalies"
T000262,C0083,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000263,C0082,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000264,C0097,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000265,C0081,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000266,C0071,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000267,C0027,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000268,C0120,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000269,C0070,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000270,C0010,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000271,C0087,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000272,C0059,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000273,C0046,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000274,C0047,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000275,C0031,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000276,C0026,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000277,C0022,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000278,C0096,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000279,C0025,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000280,C0040,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000281,C0041,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000282,C0095,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000283,C0023,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000284,C0005,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000285,C0124,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000286,C0037,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000287,C0015,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000288,C0037,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000289,C0063,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000290,C0071,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000291,C0069,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000292,C0026,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000293,C0076,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000294,C0017,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000295,C0012,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000296,C0016,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000297,C0118,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000298,C0009,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000299,C0017,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000300,C0040,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000301,C0052,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000302,C0119,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000303,C0025,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000304,C0092,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000305,C0116,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000306,C0030,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000307,C0019,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000308,C0014,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000309,C0039,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000310,C0055,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000311,C0037,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000312,C0054,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000313,C0086,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000314,C0109,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000315,C0029,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000316,C0019,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000317,C0123,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000318,C0045,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000319,C0000,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000320,C0091,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000321,C0055,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000322,C0042,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000323,C0036,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000324,C0052,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000325,C0062,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000326,C0076,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000327,C0084,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000328,C0020,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000329,C0110,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000330,C0035,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000331,C0075,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000332,C0124,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000333,C0093,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000334,C0093,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000335,C0124,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000336,C0116,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000337,C0114,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000338,C0034,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000339,C0013,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000340,C0066,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000341,C0053,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000342,C0019,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000343,C0052,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000344,C0098,0.0,58.99,0.0,14.75,APPROVE,Signals: anomalies
T000345,C0053,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000346,C0077,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000347,C0053,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000348,C0110,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000349,C0073,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000350,C0120,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000351,C0031,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000352,C0089,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000353,C0046,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000354,C0007,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000355,C0102,0.0,74.62,0.0,18.66,APPROVE,Signals: anomalies
T000356,C0052,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000357,C0002,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
