account_id,customer_id,account_type,opened_at
A0150,C0025,SAVINGS,2025-07-01T00:00:00
A0151,C0026,SAVINGS,2025-07-02T00:00:00
A0152,C0027,SAVINGS,2025-07-03T00:00:00
A0153,C0028,CURRENT,2025-07-04T00:00:00
A0154,C0029,CURRENT,2025-07-05T00:00:00
A0155,C0030,SAVINGS,2025-07-06T00:00:00
A0156,C0031,SAVINGS,2025-07-07T00:00:00
A0157,C0032,SAVINGS,2025-07-08T00:00:00
A0158,C0033,SAVINGS,2025-07-09T00:00:00
A0159,C0034,SAVINGS,2025-07-10T00:00:00
A0160,C0035,SAVINGS,2025-07-11T00:00:00
A0161,C0036,SAVINGS,2025-07-12T00:00:00
A0162,C0037,SAVINGS,2025-07-13T00:00:00
A0163,C0038,SAVINGS,2025-07-14T00:00:00
A0164,C0039,SAVINGS,2025-07-15T00:00:00
A0165,C0040,CURRENT,2025-07-16T00:00:00
A0166,C0041,SAVINGS,2025-07-17T00:00:00
A0167,C0042,WALLET,2025-07-18T00:00:00
A0168,C0043,SAVINGS,2025-07-19T00:00:00
A0169,C0044,CURRENT,2025-07-20T00:00:00
A0170,C0045,WALLET,2025-07-21T00:00:00
A0171,C0046,WALLET,2025-07-22T00:00:00
A0172,C0047,CURRENT,2025-07-23T00:00:00
A0173,C0048,CURRENT,2025-07-24T00:00:00
A0174,C0049,SAVINGS,2025-07-25T00:00:00
