device_id,device_type,first_seen_at
D0104,ANDROID,2025-06-13T00:00:00
D0105,WEB_BROWSER,2025-06-14T00:00:00
D0106,ANDROID,2025-06-15T00:00:00
D0107,WEB_BROWSER,2025-06-16T00:00:00
D0108,IOS,2025-06-17T00:00:00
D0109,IOS,2025-06-18T00:00:00
D0110,WEB_BROWSER,2025-06-19T00:00:00
D0111,WEB_BROWSER,2025-06-20T00:00:00
D0112,WEB_BROWSER,2025-06-21T00:00:00
D0113,ATM_TERMINAL,2025-06-22T00:00:00
D0114,ATM_TERMINAL,2025-06-23T00:00:00
D0115,ATM_TERMINAL,2025-06-24T00:00:00
D0116,WEB_BROWSER,2025-06-25T00:00:00
D0117,IOS,2025-06-26T00:00:00
D0118,ANDROID,2025-06-27T00:00:00
D0119,WEB_BROWSER,2025-06-28T00:00:00
D0120,ANDROID,2025-06-29T00:00:00
D0121,ATM_TERMINAL,2025-06-30T00:00:00
D0122,ATM_TERMINAL,2025-07-01T00:00:00
D0123,ANDROID,2025-07-02T00:00:00
D0124,ATM_TERMINAL,2025-07-03T00:00:00
D0125,ANDROID,2025-07-04T00:00:00
D0126,WEB_BROWSER,2025-07-05T00:00:00
D0127,ANDROID,2025-07-06T00:00:00
D0128,IOS,2025-07-07T00:00:00
D0129,WEB_BROWSER,2025-07-08T00:00:00
D0130,WEB_BROWSER,2025-07-09T00:00:00
D0131,IOS,2025-07-10T00:00:00
D0132,ATM_TERMINAL,2025-07-11T00:00:00
D0133,ATM_TERMINAL,2025-07-12T00:00:00
D0134,ANDROID,2025-07-13T00:00:00
D0135,WEB_BROWSER,2025-07-14T00:00:00
D0136,WEB_BROWSER,2025-07-15T00:00:00
D0137,IOS,2025-07-16T00:00:00
D0138,WEB_BROWSER,2025-07-17T00:00:00
D0139,ATM_TERMINAL,2025-07-18T00:00:00
D0140,ATM_TERMINAL,2025-07-19T00:00:00
D0141,ATM_TERMINAL,2025-07-20T00:00:00
D0142,WEB_BROWSER,2025-07-21T00:00:00
D0143,IOS,2025-07-22T00:00:00
D0144,ATM_TERMINAL,2025-07-23T00:00:00
D0145,IOS,2025-07-24T00:00:00
D0146,WEB_BROWSER,2025-07-25T00:00:00
D0147,IOS,2025-07-26T00:00:00
D0148,IOS,2025-07-27T00:00:00
D0149,ANDROID,2025-07-28T00:00:00
D0150,ATM_TERMINAL,2025-07-29T00:00:00
D0151,ANDROID,2025-07-30T00:00:00
D0152,ANDROID,2025-07-31T00:00:00
D0153,ATM_TERMINAL,2025-08-01T00:00:00
D0154,WEB_BROWSER,2025-08-02T00:00:00
D0155,IOS,2025-08-03T00:00:00
D0156,WEB_BROWSER,2025-08-04T00:00:00
D0157,IOS,2025-08-05T00:00:00
D0158,ANDROID,2025-08-06T00:00:00
D0159,WEB_BROWSER,2025-08-07T00:00:00
D0160,ANDROID,2025-08-08T00:00:00
D0161,WEB_BROWSER,2025-08-09T00:00:00
D0162,ATM_TERMINAL,2025-08-10T00:00:00
D0163,ATM_TERMINAL,2025-08-11T00:00:00
D0164,IOS,2025-08-12T00:00:00
D0165,ATM_TERMINAL,2025-08-13T00:00:00
D0166,WEB_BROWSER,2025-08-14T00:00:00
D0167,IOS,2025-08-15T00:00:00
D0168,ANDROID,2025-08-16T00:00:00
D0169,IOS,2025-08-17T00:00:00
D0170,WEB_BROWSER,2025-08-18T00:00:00
D0171,ATM_TERMINAL,2025-08-19T00:00:00
D0172,ANDROID,2025-08-20T00:00:00
D0173,WEB_BROWSER,2025-08-21T00:00:00
D0174,ATM_TERMINAL,2025-08-22T00:00:00
D0175,ATM_TERMINAL,2025-08-23T00:00:00
D0176,IOS,2025-08-24T00:00:00
D0177,ANDROID,2025-08-25T00:00:00
D0178,IOS,2025-08-26T00:00:00
D0179,ATM_TERMINAL,2025-08-27T00:00:00
D0180,ATM_TERMINAL,2025-08-28T00:00:00
D0181,WEB_BROWSER,2025-08-29T00:00:00
D0182,ANDROID,2025-08-30T00:00:00
D0183,ANDROID,2025-08-31T00:00:00
D0184,IOS,2025-09-01T00:00:00
D0185,WEB_BROWSER,2025-09-02T00:00:00
D0186,ANDROID,2025-09-03T00:00:00
D0187,WEB_BROWSER,2025-09-04T00:00:00
D0188,WEB_BROWSER,2025-09-05T00:00:00
D0189,ANDROID,2025-09-06T00:00:00
D0190,ANDROID,2025-09-07T00:00:00
D0191,IOS,2025-09-08T00:00:00
D0192,WEB_BROWSER,2025-09-09T00:00:00
D0193,ATM_TERMINAL,2025-09-10T00:00:00
D0194,IOS,2025-09-11T00:00:00
D0195,IOS,2025-09-12T00:00:00
D0196,ATM_TERMINAL,2025-09-13T00:00:00
D0197,IOS,2025-09-14T00:00:00
D0198,IOS,2025-09-15T00:00:00
D0199,IOS,2025-09-16T00:00:00
D0200,ANDROID,2025-09-17T00:00:00
D0201,IOS,2025-09-18T00:00:00
D0202,WEB_BROWSER,2025-09-19T00:00:00
D0203,ATM_TERMINAL,2025-09-20T00:00:00
D0204,WEB_BROWSER,2025-09-21T00:00:00
D0205,ATM_TERMINAL,2025-09-22T00:00:00
D0206,WEB_BROWSER,2025-09-23T00:00:00
D0207,ANDROID,2025-09-24T00:00:00
D0208,IOS,2025-09-25T00:00:00
D0209,ATM_TERMINAL,2025-09-26T00:00:00
D0210,ANDROID,2025-09-27T00:00:00
D0211,ATM_TERMINAL,2025-09-28T00:00:00
D0212,WEB_BROWSER,2025-09-29T00:00:00
D0213,IOS,2025-09-30T00:00:00
D0214,ATM_TERMINAL,2025-10-01T00:00:00
D0215,ATM_TERMINAL,2025-10-02T00:00:00
D0216,ANDROID,2025-10-03T00:00:00
D0217,ANDROID,2025-10-04T00:00:00
D0218,WEB_BROWSER,2025-10-05T00:00:00
D0219,ATM_TERMINAL,2025-10-06T00:00:00
D0220,ANDROID,2025-10-07T00:00:00
D0221,WEB_BROWSER,2025-10-08T00:00:00
D0222,ANDROID,2025-10-09T00:00:00
D0223,WEB_BROWSER,2025-10-10T00:00:00
D0224,WEB_BROWSER,2025-10-11T00:00:00
D0225,ANDROID,2025-10-12T00:00:00
D0226,WEB_BROWSER,2025-10-13T00:00:00
D0227,ATM_TERMINAL,2025-10-14T00:00:00
D0228,ATM_TERMINAL,2025-10-15T00:00:00
D0229,ANDROID,2025-10-16T00:00:00
D0230,ANDROID,2025-10-17T00:00:00
D0231,ANDROID,2025-10-18T00:00:00
D0232,IOS,2025-10-19T00:00:00
D0233,ANDROID,2025-10-20T00:00:00
D0234,ATM_TERMINAL,2025-10-21T00:00:00
D0235,ATM_TERMINAL,2025-10-22T00:00:00
D0236,ATM_TERMINAL,2025-10-23T00:00:00
D0237,ANDROID,2025-10-24T00:00:00
D0238,ANDROID,2025-10-25T00:00:00
D0239,ATM_TERMINAL,2025-10-26T00:00:00
D0240,IOS,2025-10-27T00:00:00
D0241,WEB_BROWSER,2025-10-28T00:00:00
D0242,ATM_TERMINAL,2025-10-29T00:00:00
D0243,ANDROID,2025-10-30T00:00:00
D0244,ANDROID,2025-10-31T00:00:00
D0245,ANDROID,2025-11-01T00:00:00
D0246,ANDROID,2025-11-02T00:00:00
D0247,ANDROID,2025-11-03T00:00:00
D0248,ATM_TERMINAL,2025-11-04T00:00:00
D0249,WEB_BROWSER,2025-11-05T00:00:00
D0250,ATM_TERMINAL,2025-03-01T00:00:00
D0251,ATM_TERMINAL,2025-03-02T00:00:00
D0252,ATM_TERMINAL,2025-03-03T00:00:00
D0253,ANDROID,2025-03-04T00:00:00
D0254,IOS,2025-03-05T00:00:00
D0255,ATM_TERMINAL,2025-03-06T00:00:00
D0256,ANDROID,2025-03-07T00:00:00
D0257,ANDROID,2025-03-08T00:00:00
D0258,WEB_BROWSER,2025-03-09T00:00:00
D0259,ATM_TERMINAL,2025-03-10T00:00:00
D0260,ATM_TERMINAL,2025-03-11T00:00:00
D0261,ATM_TERMINAL,2025-03-12T00:00:00
D0262,ANDROID,2025-03-13T00:00:00
D0263,ATM_TERMINAL,2025-03-14T00:00:00
D0264,ATM_TERMINAL,2025-03-15T00:00:00
D0265,WEB_BROWSER,2025-03-16T00:00:00
D0266,ATM_TERMINAL,2025-03-17T00:00:00
D0267,ATM_TERMINAL,2025-03-18T00:00:00
D0268,IOS,2025-03-19T00:00:00
D0269,ANDROID,2025-03-20T00:00:00
D0270,IOS,2025-03-21T00:00:00
D0271,ANDROID,2025-03-22T00:00:00
D0272,ANDROID,2025-03-23T00:00:00
D0273,ANDROID,2025-03-24T00:00:00
D0274,WEB_BROWSER,2025-03-25T00:00:00
D0275,WEB_BROWSER,2025-03-26T00:00:00
D0276,WEB_BROWSER,2025-03-27T00:00:00
D0277,WEB_BROWSER,2025-03-28T00:00:00
D0278,WEB_BROWSER,2025-03-29T00:00:00
D0279,WEB_BROWSER,2025-03-30T00:00:00
D0280,ANDROID,2025-03-31T00:00:00
D0281,ATM_TERMINAL,2025-04-01T00:00:00
D0282,IOS,2025-04-02T00:00:00
D0283,ANDROID,2025-04-03T00:00:00
D0284,ATM_TERMINAL,2025-04-04T00:00:00
D0285,WEB_BROWSER,2025-04-05T00:00:00
D0286,ANDROID,2025-04-06T00:00:00
D0287,ANDROID,2025-04-07T00:00:00
D0288,ANDROID,2025-04-08T00:00:00
D0289,IOS,2025-04-09T00:00:00
D0290,ANDROID,2025-04-10T00:00:00
D0291,WEB_BROWSER,2025-04-11T00:00:00
D0292,WEB_BROWSER,2025-04-12T00:00:00
D0293,ATM_TERMINAL,2025-04-13T00:00:00
D0294,WEB_BROWSER,2025-04-14T00:00:00
D0295,WEB_BROWSER,2025-04-15T00:00:00
D0296,WEB_BROWSER,2025-04-16T00:00:00
D0297,ANDROID,2025-04-17T00:00:00
D0298,ANDROID,2025-04-18T00:00:00
D0299,WEB_BROWSER,2025-04-19T00:00:00
D0300,ANDROID,2025-04-20T00:00:00
D0301,ANDROID,2025-04-21T00:00:00
D0302,ANDROID,2025-04-22T00:00:00
D0303,ATM_TERMINAL,2025-04-23T00:00:00
D0304,IOS,2025-04-24T00:00:00
D0305,WEB_BROWSER,2025-04-25T00:00:00
D0306,IOS,2025-04-26T00:00:00
D0307,ANDROID,2025-04-27T00:00:00
D0308,IOS,2025-04-28T00:00:00
D0309,ANDROID,2025-04-29T00:00:00
D0310,ATM_TERMINAL,2025-04-30T00:00:00
D0311,ANDROID,2025-05-01T00:00:00
D0312,IOS,2025-05-02T00:00:00
D0313,ATM_TERMINAL,2025-05-03T00:00:00
D0314,WEB_BROWSER,2025-05-04T00:00:00
D0315,IOS,2025-05-05T00:00:00
D0316,WEB_BROWSER,2025-05-06T00:00:00
D0317,ATM_TERMINAL,2025-05-07T00:00:00
D0318,IOS,2025-05-08T00:00:00
D0319,WEB_BROWSER,2025-05-09T00:00:00
D0320,ATM_TERMINAL,2025-05-10T00:00:00
D0321,WEB_BROWSER,2025-05-11T00:00:00
D0322,IOS,2025-05-12T00:00:00
D0323,ANDROID,2025-05-13T00:00:00
D0324,ANDROID,2025-05-14T00:00:00
D0325,ATM_TERMINAL,2025-05-15T00:00:00
D0326,WEB_BROWSER,2025-05-16T00:00:00
D0327,IOS,2025-05-17T00:00:00
D0328,IOS,2025-05-18T00:00:00
D0329,WEB_BROWSER,2025-05-19T00:00:00
D0330,WEB_BROWSER,2025-05-20T00:00:00
D0331,WEB_BROWSER,2025-05-21T00:00:00
D0332,IOS,2025-05-22T00:00:00
D0333,WEB_BROWSER,2025-05-23T00:00:00
D0334,IOS,2025-05-24T00:00:00
D0335,ATM_TERMINAL,2025-05-25T00:00:00
D0336,ANDROID,2025-05-26T00:00:00
D0337,ANDROID,2025-05-27T00:00:00
D0338,IOS,2025-05-28T00:00:00
D0339,WEB_BROWSER,2025-05-29T00:00:00
D0340,WEB_BROWSER,2025-05-30T00:00:00
D0341,IOS,2025-05-31T00:00:00
D0342,ATM_TERMINAL,2025-06-01T00:00:00
D0343,IOS,2025-06-02T00:00:00
D0344,ANDROID,2025-06-03T00:00:00
D0345,ANDROID,2025-06-04T00:00:00
D0346,ATM_TERMINAL,2025-06-05T00:00:00
D0347,ANDROID,2025-06-06T00:00:00
D0348,ATM_TERMINAL,2025-06-07T00:00:00
D0349,IOS,2025-06-08T00:00:00
D0350,ANDROID,2025-06-09T00:00:00
D0351,IOS,2025-06-10T00:00:00
D0352,WEB_BROWSER,2025-06-11T00:00:00
D0353,IOS,2025-06-12T00:00:00
D0354,ATM_TERMINAL,2025-06-13T00:00:00
D0355,WEB_BROWSER,2025-06-14T00:00:00
D0356,IOS,2025-06-15T00:00:00
D0357,WEB_BROWSER,2025-06-16T00:00:00
D0358,ATM_TERMINAL,2025-06-17T00:00:00
D0359,IOS,2025-06-18T00:00:00
D0360,ANDROID,2025-06-19T00:00:00
D0361,IOS,2025-06-20T00:00:00
D0362,ATM_TERMINAL,2025-06-21T00:00:00
D0363,ANDROID,2025-06-22T00:00:00
D0364,ATM_TERMINAL,2025-06-23T00:00:00
D0365,WEB_BROWSER,2025-06-24T00:00:00
D0366,WEB_BROWSER,2025-06-25T00:00:00
D0367,IOS,2025-06-26T00:00:00
D0368,ATM_TERMINAL,2025-06-27T00:00:00
D0369,ANDROID,2025-06-28T00:00:00
D0370,IOS,2025-06-29T00:00:00
D0371,IOS,2025-06-30T00:00:00
D0372,IOS,2025-07-01T00:00:00
D0373,IOS,2025-07-02T00:00:00
D0374,ANDROID,2025-07-03T00:00:00
D0375,ANDROID,2025-07-04T00:00:00
D0376,ANDROID,2025-07-05T00:00:00
D0377,WEB_BROWSER,2025-07-06T00:00:00
D0378,IOS,2025-07-07T00:00:00
D0379,WEB_BROWSER,2025-07-08T00:00:00
D0380,WEB_BROWSER,2025-07-09T00:00:00
D0381,WEB_BROWSER,2025-07-10T00:00:00
D0382,WEB_BROWSER,2025-07-11T00:00:00
D0383,WEB_BROWSER,2025-07-12T00:00:00
D0384,WEB_BROWSER,2025-07-13T00:00:00
D0385,WEB_BROWSER,2025-07-14T00:00:00
D0386,WEB_BROWSER,2025-07-15T00:00:00
D0387,IOS,2025-07-16T00:00:00
D0388,ANDROID,2025-07-17T00:00:00
D0389,ATM_TERMINAL,2025-07-18T00:00:00
D0390,IOS,2025-07-19T00:00:00
D0391,WEB_BROWSER,2025-07-20T00:00:00
D0392,ANDROID,2025-07-21T00:00:00
D0393,IOS,2025-07-22T00:00:00
D0394,WEB_BROWSER,2025-07-23T00:00:00
D0395,WEB_BROWSER,2025-07-24T00:00:00
D0396,WEB_BROWSER,2025-07-25T00:00:00
D0397,IOS,2025-07-26T00:00:00
D0398,ATM_TERMINAL,2025-07-27T00:00:00
D0399,WEB_BROWSER,2025-07-28T00:00:00
D0400,ATM_TERMINAL,2025-07-29T00:00:00
D0401,WEB_BROWSER,2025-07-30T00:00:00
D0402,WEB_BROWSER,2025-07-31T00:00:00
D0403,ATM_TERMINAL,2025-08-01T00:00:00
D0404,ANDROID,2025-08-02T00:00:00
D0405,ATM_TERMINAL,2025-08-03T00:00:00
D0406,ATM_TERMINAL,2025-08-04T00:00:00
D0407,WEB_BROWSER,2025-08-05T00:00:00
D0408,WEB_BROWSER,2025-08-06T00:00:00
D0409,WEB_BROWSER,2025-08-07T00:00:00
D0410,IOS,2025-08-08T00:00:00
D0411,ATM_TERMINAL,2025-08-09T00:00:00
D0412,ANDROID,2025-08-10T00:00:00
D0413,IOS,2025-08-11T00:00:00
D0414,WEB_BROWSER,2025-08-12T00:00:00
D0415,ATM_TERMINAL,2025-08-13T00:00:00
D0416,IOS,2025-08-14T00:00:00
D0417,IOS,2025-08-15T00:00:00
D0418,ANDROID,2025-08-16T00:00:00
D0419,ANDROID,2025-08-17T00:00:00
D0420,ANDROID,2025-08-18T00:00:00
D0421,ANDROID,2025-08-19T00:00:00
D0422,ATM_TERMINAL,2025-08-20T00:00:00
D0423,ATM_TERMINAL,2025-08-21T00:00:00
D0424,ATM_TERMINAL,2025-08-22T00:00:00
D0425,ANDROID,2025-08-23T00:00:00
D0426,ANDROID,2025-08-24T00:00:00
D0427,IOS,2025-08-25T00:00:00
D0428,WEB_BROWSER,2025-08-26T00:00:00
D0429,IOS,2025-08-27T00:00:00
D0430,IOS,2025-08-28T00:00:00
D0431,ANDROID,2025-08-29T00:00:00
D0432,WEB_BROWSER,2025-08-30T00:00:00
D0433,IOS,2025-08-31T00:00:00
D0434,ANDROID,2025-09-01T00:00:00
D0435,WEB_BROWSER,2025-09-02T00:00:00
D0436,ATM_TERMINAL,2025-09-03T00:00:00
D0437,ANDROID,2025-09-04T00:00:00
D0438,IOS,2025-09-05T00:00:00
D0439,ATM_TERMINAL,2025-09-06T00:00:00
D0440,WEB_BROWSER,2025-09-07T00:00:00
D0441,ATM_TERMINAL,2025-09-08T00:00:00
D0442,IOS,2025-09-09T00:00:00
D0443,IOS,2025-09-10T00:00:00
D0444,WEB_BROWSER,2025-09-11T00:00:00
D0445,ANDROID,2025-09-12T00:00:00
D0446,ANDROID,2025-09-13T00:00:00
D0447,WEB_BROWSER,2025-09-14T00:00:00
D0448,WEB_BROWSER,2025-09-15T00:00:00
D0449,ANDROID,2025-09-16T00:00:00
D0450,WEB_BROWSER,2025-09-17T00:00:00
D0451,IOS,2025-09-18T00:00:00
D0452,WEB_BROWSER,2025-09-19T00:00:00
D0453,ATM_TERMINAL,2025-09-20T00:00:00
D0454,ANDROID,2025-09-21T00:00:00
D0455,ATM_TERMINAL,2025-09-22T00:00:00
D0456,IOS,2025-09-23T00:00:00
D0457,ATM_TERMINAL,2025-09-24T00:00:00
D0458,IOS,2025-09-25T00:00:00
D0459,IOS,2025-09-26T00:00:00
D0460,ATM_TERMINAL,2025-09-27T00:00:00
D0461,WEB_BROWSER,2025-09-28T00:00:00
D0462,ANDROID,2025-09-29T00:00:00
D0463,WEB_BROWSER,2025-09-30T00:00:00
D0464,ATM_TERMINAL,2025-10-01T00:00:00
D0465,IOS,2025-10-02T00:00:00
D0466,ATM_TERMINAL,2025-10-03T00:00:00
D0467,WEB_BROWSER,2025-10-04T00:00:00
D0468,IOS,2025-10-05T00:00:00
D0469,ANDROID,2025-10-06T00:00:00
D0470,WEB_BROWSER,2025-10-07T00:00:00
D0471,ANDROID,2025-10-08T00:00:00
D0472,ATM_TERMINAL,2025-10-09T00:00:00
D0473,WEB_BROWSER,2025-10-10T00:00:00
D0474,IOS,2025-10-11T00:00:00
D0475,ANDROID,2025-10-12T00:00:00
D0476,WEB_BROWSER,2025-10-13T00:00:00
D0477,ANDROID,2025-10-14T00:00:00
D0478,IOS,2025-10-15T00:00:00
D0479,ATM_TERMINAL,2025-10-16T00:00:00
D0480,ATM_TERMINAL,2025-10-17T00:00:00
D0481,ATM_TERMINAL,2025-10-18T00:00:00
D0482,ATM_TERMINAL,2025-10-19T00:00:00
D0483,WEB_BROWSER,2025-10-20T00:00:00
D0484,ANDROID,2025-10-21T00:00:00
D0485,ATM_TERMINAL,2025-10-22T00:00:00
D0486,ATM_TERMINAL,2025-10-23T00:00:00
D0487,ATM_TERMINAL,2025-10-24T00:00:00
D0488,WEB_BROWSER,2025-10-25T00:00:00
D0489,ANDROID,2025-10-26T00:00:00
D0490,WEB_BROWSER,2025-10-27T00:00:00
D0491,IOS,2025-10-28T00:00:00
D0492,ATM_TERMINAL,2025-10-29T00:00:00
D0493,IOS,2025-10-30T00:00:00
D0494,IOS,2025-10-31T00:00:00
D0495,ANDROID,2025-11-01T00:00:00
D0496,ATM_TERMINAL,2025-11-02T00:00:00
D0497,ATM_TERMINAL,2025-11-03T00:00:00
D0498,ANDROID,2025-11-04T00:00:00
D0499,IOS,2025-11-05T00:00:00
