source_id,source_type,target_id,target_type,relationship
A0002,account,T000023,transaction,HAS_TRANSACTION
C0077,customer,M0018,merchant,PAYS
A0077,account,T000024,transaction,HAS_TRANSACTION
C0105,customer,A0105,account,OWNS
C0105,customer,D0105,device,USES
C0105,customer,10.106.136.166,ip,CONNECTS_FROM
C0105,customer,M0048,merchant,PAYS
A0105,account,T000025,transaction,HAS_TRANSACTION
C0070,customer,A0070,account,OWNS
C0070,customer,D0070,device,USES
C0070,customer,10.71.91.111,ip,CONNECTS_FROM
C0070,customer,M0051,merchant,PAYS
A0070,account,T000026,transaction,HAS_TRANSACTION
C0096,customer,M0048,merchant,PAYS
A0096,account,T000027,transaction,HAS_TRANSACTION
C0107,customer,A0107,account,OWNS
C0107,customer,D0107,device,USES
C0107,customer,10.108.150.192,ip,CONNECTS_FROM
C0107,customer,M0035,merchant,PAYS
A0107,account,T000028,transaction,HAS_TRANSACTION
C0066,customer,A0066,account,OWNS
C0066,customer,D0066,device,USES
C0066,customer,10.67.63.59,ip,CONNECTS_FROM
C0066,customer,M0043,merchant,PAYS
A0066,account,T000029,transaction,HAS_TRANSACTION
C0025,customer,A0025,account,OWNS
C0025,customer,D0494,device,USES
C0025,customer,10.26.176.126,ip,CONNECTS_FROM
C0025,customer,M0051,merchant,PAYS
A0025,account,T000030,transaction,HAS_TRANSACTION
C0048,customer,A0048,account,OWNS
C0048,customer,D0204,device,USES
C0048,customer,10.49.137.25,ip,CONNECTS_FROM
C0048,customer,M0010,merchant,PAYS
A0048,account,T000031,transaction,HAS_TRANSACTION
C0010,customer,A0010,account,OWNS
C0010,customer,D_SHARED_FRAUD,device,USES
C0010,customer,203.0.113.77,ip,CONNECTS_FROM
C0010,customer,M0026,merchant,PAYS
A0010,account,T000032,transaction,HAS_TRANSACTION
C0011,customer,A0011,account,OWNS
C0011,customer,D_SHARED_FRAUD,device,USES
C0011,customer,203.0.113.77,ip,CONNECTS_FROM
C0011,customer,M0028,merchant,PAYS
A0011,account,T000033,transaction,HAS_TRANSACTION
C0012,customer,A0012,account,OWNS
C0012,customer,D_SHARED_FRAUD,device,USES
C0012,customer,203.0.113.77,ip,CONNECTS_FROM
C0012,customer,M0016,merchant,PAYS
A0012,account,T000034,transaction,HAS_TRANSACTION
C0013,customer,A0013,account,OWNS
C0013,customer,D_SHARED_FRAUD,device,USES
C0013,customer,203.0.113.77,ip,CONNECTS_FROM
C0013,customer,M0003,merchant,PAYS
A0013,account,T000035,transaction,HAS_TRANSACTION
C0014,customer,A0014,account,OWNS
C0014,customer,D_SHARED_FRAUD,device,USES
C0014,customer,203.0.113.77,ip,CONNECTS_FROM
C0014,customer,M0020,merchant,PAYS
A0014,account,T000036,transaction,HAS_TRANSACTION
C0015,customer,A0015,account,OWNS
C0015,customer,D_SHARED_FRAUD,device,USES
C0015,customer,203.0.113.77,ip,CONNECTS_FROM
C0015,customer,M0049,merchant,PAYS
A0015,account,T000037,transaction,HAS_TRANSACTION
C0016,customer,A0016,account,OWNS
C0016,customer,D_SHARED_FRAUD,device,USES
C0016,customer,203.0.113.77,ip,CONNECTS_FROM
C0016,customer,M0046,merchant,PAYS
A0016,account,T000038,transaction,HAS_TRANSACTION
C0017,customer,A0017,account,OWNS
C0017,customer,D_SHARED_FRAUD,device,USES
C0017,customer,203.0.113.77,ip,CONNECTS_FROM
C0017,customer,M0018,merchant,PAYS
A0017,account,T000039,transaction,HAS_TRANSACTION
C0018,customer,A0018,account,OWNS
C0018,customer,D_SHARED_FRAUD,device,USES
C0018,customer,203.0.113.77,ip,CONNECTS_FROM
C0018,customer,M0052,merchant,PAYS
A0018,account,T000040,transaction,HAS_TRANSACTION
C0019,customer,A0019,account,OWNS
C0019,customer,D_SHARED_FRAUD,device,USES
C0019,customer,203.0.113.77,ip,CONNECTS_FROM
C0019,customer,M0003,merchant,PAYS
A0019,account,T000041,transaction,HAS_TRANSACTION
C0020,customer,A0020,account,OWNS
C0020,customer,D_SHARED_FRAUD,device,USES
C0020,customer,203.0.113.77,ip,CONNECTS_FROM
C0020,customer,M0045,merchant,PAYS
A0020,account,T000042,transaction,HAS_TRANSACTION
C0021,customer,A0021,account,OWNS
C0021,customer,D_SHARED_FRAUD,device,USES
C0021,customer,203.0.113.77,ip,CONNECTS_FROM
C0021,customer,M0034,merchant,PAYS
A0021,account,T000043,transaction,HAS_TRANSACTION
C0022,customer,A0022,account,OWNS
C0022,customer,D_SHARED_FRAUD,device,USES
C0022,customer,203.0.113.77,ip,CONNECTS_FROM
C0022,customer,M0007,merchant,PAYS
A0022,account,T000044,transaction,HAS_TRANSACTION
C0023,customer,A0023,account,OWNS
C0023,customer,D_SHARED_FRAUD,device,USES
C0023,customer,203.0.113.77,ip,CONNECTS_FROM
C0023,customer,M0036,merchant,PAYS
A0023,account,T000045,transaction,HAS_TRANSACTION
C0024,customer,A0024,account,OWNS
C0024,customer,D_SHARED_FRAUD,device,USES
C0024,customer,203.0.113.77,ip,CONNECTS_FROM
C0024,customer,M0015,merchant,PAYS
A0024,account,T000046,transaction,HAS_TRANSACTION
C0025,customer,D_SHARED_FRAUD,device,USES
C0025,customer,203.0.113.77,ip,CONNECTS_FROM
C0025,customer,M0021,merchant,PAYS
A0025,account,T000047,transaction,HAS_TRANSACTION
C0041,customer,A0041,account,OWNS
C0041,customer,D0041,device,USES
C0041,customer,10.42.88.134,ip,CONNECTS_FROM
C0041,customer,M0001,merchant,PAYS
A0041,account,T000048,transaction,HAS_TRANSACTION
C0091,customer,A0091,account,OWNS
C0091,customer,D0091,device,USES
C0091,customer,10.92.38.184,ip,CONNECTS_FROM
C0091,customer,M0001,merchant,PAYS
A0091,account,T000049,transaction,HAS_TRANSACTION
C0083,customer,A0083,account,OWNS
C0083,customer,D0083,device,USES
C0083,customer,10.84.182.80,ip,CONNECTS_FROM
C0083,customer,M0001,merchant,PAYS
A0083,account,T000050,transaction,HAS_TRANSACTION
C0096,customer,M0001,merchant,PAYS
A0096,account,T000051,transaction,HAS_TRANSACTION
C0085,customer,A0085,account,OWNS
C0085,customer,D0085,device,USES
C0085,customer,10.86.196.106,ip,CONNECTS_FROM
C0085,customer,M0001,merchant,PAYS
A0085,account,T000052,transaction,HAS_TRANSACTION
C0088,customer,A0088,account,OWNS
C0088,customer,D0088,device,USES
C0088,customer,10.89.17.145,ip,CONNECTS_FROM
C0088,customer,M0001,merchant,PAYS
A0088,account,T000053,transaction,HAS_TRANSACTION
C0122,customer,A0122,account,OWNS
C0122,customer,D0122,device,USES
C0122,customer,10.123.55.187,ip,CONNECTS_FROM
C0122,customer,M0001,merchant,PAYS
A0122,account,T000054,transaction,HAS_TRANSACTION
C0057,customer,A0057,account,OWNS
C0057,customer,D0057,device,USES
C0057,customer,10.58.200.142,ip,CONNECTS_FROM
C0057,customer,M0001,merchant,PAYS
A0057,account,T000055,transaction,HAS_TRANSACTION
C0042,customer,D0042,device,USES
C0042,customer,M0001,merchant,PAYS
A0042,account,T000056,transaction,HAS_TRANSACTION
C0019,customer,D0144,device,USES
C0019,customer,10.20.134.48,ip,CONNECTS_FROM
C0019,customer,M0001,merchant,PAYS
A0019,account,T000057,transaction,HAS_TRANSACTION
C0030,customer,A_MULE_001,account,OWNS
C0030,customer,D0056,device,USES
C0030,customer,10.57.193.129,ip,CONNECTS_FROM
C0030,customer,M0006,merchant,PAYS
A_MULE_001,account,T000058,transaction,HAS_TRANSACTION
C0031,customer,A_MULE_001,account,OWNS
C0031,customer,D0081,device,USES
C0031,customer,10.82.168.54,ip,CONNECTS_FROM
C0031,customer,M0006,merchant,PAYS
A_MULE_001,account,T000059,transaction,HAS_TRANSACTION
C0032,customer,A_MULE_001,account,OWNS
C0032,customer,D0046,device,USES
C0032,customer,10.47.123.199,ip,CONNECTS_FROM
C0032,customer,M0049,merchant,PAYS
A_MULE_001,account,T000060,transaction,HAS_TRANSACTION
C0033,customer,A_MULE_001,account,OWNS
C0033,customer,D0020,device,USES
C0033,customer,10.21.141.61,ip,CONNECTS_FROM
C0033,customer,M0050,merchant,PAYS
A_MULE_001,account,T000061,transaction,HAS_TRANSACTION
C0034,customer,A_MULE_001,account,OWNS
C0034,customer,D0028,device,USES
C0034,customer,10.29.197.165,ip,CONNECTS_FROM
C0034,customer,M0018,merchant,PAYS
A_MULE_001,account,T000062,transaction,HAS_TRANSACTION
C0035,customer,A_MULE_001,account,OWNS
C0035,customer,D0033,device,USES
C0035,customer,10.34.32.30,ip,CONNECTS_FROM
C0035,customer,M0023,merchant,PAYS
A_MULE_001,account,T000063,transaction,HAS_TRANSACTION
C0036,customer,A_MULE_001,account,OWNS
C0036,customer,D0067,device,USES
C0036,customer,10.68.70.72,ip,CONNECTS_FROM
C0036,customer,M0041,merchant,PAYS
A_MULE_001,account,T000064,transaction,HAS_TRANSACTION
C0037,customer,A_MULE_001,account,OWNS
C0037,customer,D0010,device,USES
C0037,customer,10.11.71.131,ip,CONNECTS_FROM
C0037,customer,M0054,merchant,PAYS
A_MULE_001,account,T000065,transaction,HAS_TRANSACTION
C0038,customer,A_MULE_001,account,OWNS
C0038,customer,D0049,device,USES
C0038,customer,10.50.144.38,ip,CONNECTS_FROM
C0038,customer,M0012,merchant,PAYS
A_MULE_001,account,T000066,transaction,HAS_TRANSACTION
C0039,customer,A_MULE_001,account,OWNS
C0039,customer,D0070,device,USES
C0039,customer,10.71.91.111,ip,CONNECTS_FROM
C0039,customer,M0029,merchant,PAYS
A_MULE_001,account,T000067,transaction,HAS_TRANSACTION
C0040,customer,A_MULE_001,account,OWNS
C0040,customer,D0032,device,USES
C0040,customer,10.33.25.17,ip,CONNECTS_FROM
C0040,customer,M0041,merchant,PAYS
A_MULE_001,account,T000068,transaction,HAS_TRANSACTION
C0041,customer,A_MULE_001,account,OWNS
C0041,customer,D0105,device,USES
C0041,customer,10.106.136.166,ip,CONNECTS_FROM
C0041,customer,M0003,merchant,PAYS
A_MULE_001,account,T000069,transaction,HAS_TRANSACTION
C0058,customer,A0058,account,OWNS
C0058,customer,D0058,device,USES
C0058,customer,10.59.7.155,ip,CONNECTS_FROM
C0058,customer,M0026,merchant,PAYS
A0058,account,T000070,transaction,HAS_TRANSACTION
C0051,customer,A0051,account,OWNS
C0051,customer,D0051,device,USES
C0051,customer,10.52.158.64,ip,CONNECTS_FROM
C0051,customer,M0011,merchant,PAYS
A0051,account,T000071,transaction,HAS_TRANSACTION
C0006,customer,A0006,account,OWNS
C0006,customer,D0006,device,USES
C0006,customer,10.7.43.79,ip,CONNECTS_FROM
C0006,customer,M0048,merchant,PAYS
A0006,account,T000072,transaction,HAS_TRANSACTION
C0014,customer,D0014,device,USES
C0014,customer,10.15.99.183,ip,CONNECTS_FROM
C0014,customer,M0045,merchant,PAYS
A0014,account,T000073,transaction,HAS_TRANSACTION
C0050,customer,A0050,account,OWNS
C0050,customer,D0050,device,USES
C0050,customer,10.51.151.51,ip,CONNECTS_FROM
C0050,customer,M0050,merchant,PAYS
A0050,account,T000074,transaction,HAS_TRANSACTION
C0119,customer,A0119,account,OWNS
C0119,customer,D0119,device,USES
C0119,customer,10.120.34.148,ip,CONNECTS_FROM
C0119,customer,M0020,merchant,PAYS
A0119,account,T000075,transaction,HAS_TRANSACTION
C0108,customer,A0108,account,OWNS
C0108,customer,D0108,device,USES
C0108,customer,10.109.157.5,ip,CONNECTS_FROM
C0108,customer,M0044,merchant,PAYS
A0108,account,T000076,transaction,HAS_TRANSACTION
C0033,customer,A0033,account,OWNS
C0033,customer,D0033,device,USES
C0033,customer,10.34.32.30,ip,CONNECTS_FROM
C0033,customer,M0019,merchant,PAYS
A0033,account,T000077,transaction,HAS_TRANSACTION
C0038,customer,A0038,account,OWNS
C0038,customer,D0038,device,USES
C0038,customer,10.39.67.95,ip,CONNECTS_FROM
C0038,customer,M0042,merchant,PAYS
A0038,account,T000078,transaction,HAS_TRANSACTION
C0022,customer,D0022,device,USES
C0022,customer,10.152.216.100,ip,CONNECTS_FROM
C0022,customer,M0050,merchant,PAYS
A0022,account,T000079,transaction,HAS_TRANSACTION
C0085,customer,M0013,merchant,PAYS
A0085,account,T000080,transaction,HAS_TRANSACTION
C0110,customer,A0110,account,OWNS
C0110,customer,D0110,device,USES
C0110,customer,10.111.171.31,ip,CONNECTS_FROM
C0110,customer,M0048,merchant,PAYS
A0110,account,T000081,transaction,HAS_TRANSACTION
C0067,customer,A0067,account,OWNS
C0067,customer,D_NEW_82,device,USES
C0067,customer,10.68.70.72,ip,CONNECTS_FROM
C0067,customer,M0051,merchant,PAYS
A0067,account,T000082,transaction,HAS_TRANSACTION
C0063,customer,A0063,account,OWNS
C0063,customer,D_NEW_83,device,USES
C0063,customer,10.64.42.20,ip,CONNECTS_FROM
C0063,customer,M0050,merchant,PAYS
A0063,account,T000083,transaction,HAS_TRANSACTION
C0027,customer,A0027,account,OWNS
C0027,customer,D_NEW_84,device,USES
C0027,customer,10.28.190.152,ip,CONNECTS_FROM
C0027,customer,M0003,merchant,PAYS
A0027,account,T000084,transaction,HAS_TRANSACTION
C0078,customer,A0078,account,OWNS
C0078,customer,D_NEW_85,device,USES
C0078,customer,10.79.147.15,ip,CONNECTS_FROM
C0078,customer,M0036,merchant,PAYS
A0078,account,T000085,transaction,HAS_TRANSACTION
C0017,customer,D_NEW_86,device,USES
C0017,customer,10.51.103.58,ip,CONNECTS_FROM
C0017,customer,M0022,merchant,PAYS
A0017,account,T000086,transaction,HAS_TRANSACTION
C0044,customer,A0044,account,OWNS
C0044,customer,D_NEW_87,device,USES
C0044,customer,10.45.109.173,ip,CONNECTS_FROM
C0044,customer,M0020,merchant,PAYS
A0044,account,T000087,transaction,HAS_TRANSACTION
C0065,customer,A0065,account,OWNS
C0065,customer,D_NEW_88,device,USES
C0065,customer,10.66.56.46,ip,CONNECTS_FROM
C0065,customer,M0050,merchant,PAYS
A0065,account,T000088,transaction,HAS_TRANSACTION
C0008,customer,A0008,account,OWNS
C0008,customer,D_NEW_89,device,USES
C0008,customer,10.9.57.105,ip,CONNECTS_FROM
C0008,customer,M0054,merchant,PAYS
A0008,account,T000089,transaction,HAS_TRANSACTION
C0024,customer,D0024,device,USES
C0024,customer,10.25.169.113,ip,CONNECTS_FROM
C0024,customer,M0029,merchant,PAYS
A0024,account,T000090,transaction,HAS_TRANSACTION
C0115,customer,A0115,account,OWNS
C0115,customer,D0115,device,USES
C0115,customer,10.116.6.96,ip,CONNECTS_FROM
C0115,customer,M0043,merchant,PAYS
A0115,account,T000091,transaction,HAS_TRANSACTION
C0057,customer,M0039,merchant,PAYS
A0057,account,T000092,transaction,HAS_TRANSACTION
C0010,customer,D0010,device,USES
C0010,customer,10.9.208.56,ip,CONNECTS_FROM
C0010,customer,M0028,merchant,PAYS
A0010,account,T000093,transaction,HAS_TRANSACTION
C0006,customer,M0050,merchant,PAYS
A0006,account,T000094,transaction,HAS_TRANSACTION
C0100,customer,A0100,account,OWNS
C0100,customer,D0063,device,USES
C0100,customer,10.101.101.101,ip,CONNECTS_FROM
C0100,customer,M0019,merchant,PAYS
A0100,account,T000095,transaction,HAS_TRANSACTION
C0047,customer,A0047,account,OWNS
C0047,customer,D0047,device,USES
C0047,customer,10.48.130.12,ip,CONNECTS_FROM
C0047,customer,M0035,merchant,PAYS
A0047,account,T000096,transaction,HAS_TRANSACTION
C0090,customer,A0090,account,OWNS
C0090,customer,D0090,device,USES
C0090,customer,10.91.31.171,ip,CONNECTS_FROM
C0090,customer,M0032,merchant,PAYS
A0090,account,T000097,transaction,HAS_TRANSACTION
C0012,customer,D0012,device,USES
C0012,customer,10.13.85.157,ip,CONNECTS_FROM
C0012,customer,M0040,merchant,PAYS
A0012,account,T000098,transaction,HAS_TRANSACTION
C0002,customer,D0002,device,USES
C0002,customer,10.3.15.27,ip,CONNECTS_FROM
C0002,customer,M0044,merchant,PAYS
A0002,account,T000099,transaction,HAS_TRANSACTION
C0024,customer,M0042,merchant,PAYS
A0024,account,T000100,transaction,HAS_TRANSACTION
C0046,customer,A0046,account,OWNS
C0046,customer,D0046,device,USES
C0046,customer,10.47.123.199,ip,CONNECTS_FROM
C0046,customer,M0032,merchant,PAYS
A0046,account,T000101,transaction,HAS_TRANSACTION
C0028,customer,A0028,account,OWNS
C0028,customer,D0028,device,USES
C0028,customer,10.228.204.40,ip,CONNECTS_FROM
C0028,customer,M0010,merchant,PAYS
A0028,account,T000102,transaction,HAS_TRANSACTION
C0095,customer,A0095,account,OWNS
C0095,customer,D0095,device,USES
C0095,customer,10.96.66.36,ip,CONNECTS_FROM
C0095,customer,M0044,merchant,PAYS
A0095,account,T000103,transaction,HAS_TRANSACTION
C0103,customer,A0103,account,OWNS
C0103,customer,D0103,device,USES
C0103,customer,10.104.122.140,ip,CONNECTS_FROM
C0103,customer,M0038,merchant,PAYS
A0103,account,T000104,transaction,HAS_TRANSACTION
C0102,customer,A0102,account,OWNS
C0102,customer,D0102,device,USES
C0102,customer,10.103.115.127,ip,CONNECTS_FROM
C0102,customer,M0018,merchant,PAYS
A0102,account,T000105,transaction,HAS_TRANSACTION
C0045,customer,A0045,account,OWNS
C0045,customer,D0045,device,USES
C0045,customer,10.46.116.186,ip,CONNECTS_FROM
C0045,customer,M0049,merchant,PAYS
A0045,account,T000106,transaction,HAS_TRANSACTION
C0002,customer,M0045,merchant,PAYS
A0002,account,T000107,transaction,HAS_TRANSACTION
C0072,customer,A0072,account,OWNS
C0072,customer,D0072,device,USES
C0072,customer,10.73.105.137,ip,CONNECTS_FROM
C0072,customer,M0026,merchant,PAYS
A0072,account,T000108,transaction,HAS_TRANSACTION
C0028,customer,D0333,device,USES
C0028,customer,10.29.197.165,ip,CONNECTS_FROM
C0028,customer,M0008,merchant,PAYS
A0028,account,T000109,transaction,HAS_TRANSACTION
C0053,customer,A0053,account,OWNS
C0053,customer,D0053,device,USES
C0053,customer,10.54.172.90,ip,CONNECTS_FROM
C0053,customer,M0018,merchant,PAYS
A0053,account,T000110,transaction,HAS_TRANSACTION
C0050,customer,M0012,merchant,PAYS
A0050,account,T000111,transaction,HAS_TRANSACTION
C0124,customer,A0124,account,OWNS
C0124,customer,D0124,device,USES
C0124,customer,10.207.143.68,ip,CONNECTS_FROM
C0124,customer,M0000,merchant,PAYS
A0124,account,T000112,transaction,HAS_TRANSACTION
C0072,customer,M0020,merchant,PAYS
A0072,account,T000113,transaction,HAS_TRANSACTION
C0025,customer,D0025,device,USES
C0025,customer,M0041,merchant,PAYS
A0025,account,T000114,transaction,HAS_TRANSACTION
C0051,customer,M0007,merchant,PAYS
A0051,account,T000115,transaction,HAS_TRANSACTION
C0124,customer,10.125.69.13,ip,CONNECTS_FROM
C0124,customer,M0040,merchant,PAYS
A0124,account,T000116,transaction,HAS_TRANSACTION
C0036,customer,A0036,account,OWNS
C0036,customer,D0036,device,USES
C0036,customer,10.37.53.69,ip,CONNECTS_FROM
C0036,customer,M0015,merchant,PAYS
A0036,account,T000117,transaction,HAS_TRANSACTION
C0050,customer,M0004,merchant,PAYS
A0050,account,T000118,transaction,HAS_TRANSACTION
C0076,customer,A0076,account,OWNS
C0076,customer,D0076,device,USES
C0076,customer,10.77.133.189,ip,CONNECTS_FROM
C0076,customer,M0046,merchant,PAYS
A0076,account,T000119,transaction,HAS_TRANSACTION
C0094,customer,A0094,account,OWNS
C0094,customer,D0052,device,USES
C0094,customer,10.95.59.23,ip,CONNECTS_FROM
C0094,customer,M0040,merchant,PAYS
A0094,account,T000120,transaction,HAS_TRANSACTION
C0102,customer,M0016,merchant,PAYS
A0102,account,T000121,transaction,HAS_TRANSACTION
C0120,customer,10.121.41.161,ip,CONNECTS_FROM
C0120,customer,M0050,merchant,PAYS
A0120,account,T000122,transaction,HAS_TRANSACTION
C0120,customer,D0196,device,USES
C0120,customer,M0019,merchant,PAYS
A0120,account,T000123,transaction,HAS_TRANSACTION
C0051,customer,M0033,merchant,PAYS
A0051,account,T000124,transaction,HAS_TRANSACTION
C0029,customer,A0029,account,OWNS
C0029,customer,D0029,device,USES
C0029,customer,10.30.4.178,ip,CONNECTS_FROM
C0029,customer,M0025,merchant,PAYS
A0029,account,T000125,transaction,HAS_TRANSACTION
C0056,customer,A0056,account,OWNS
C0056,customer,D0056,device,USES
C0056,customer,10.57.193.129,ip,CONNECTS_FROM
C0056,customer,M0019,merchant,PAYS
A0056,account,T000126,transaction,HAS_TRANSACTION
C0032,customer,M0042,merchant,PAYS
A0032,account,T000127,transaction,HAS_TRANSACTION
C0119,customer,M0005,merchant,PAYS
A0119,account,T000128,transaction,HAS_TRANSACTION
C0104,customer,A0104,account,OWNS
C0104,customer,D0104,device,USES
C0104,customer,10.105.129.153,ip,CONNECTS_FROM
C0104,customer,M0044,merchant,PAYS
A0104,account,T000129,transaction,HAS_TRANSACTION
A0041,account,T000130,transaction,HAS_TRANSACTION
C0103,customer,M0016,merchant,PAYS
A0103,account,T000131,transaction,HAS_TRANSACTION
C0020,customer,D0020,device,USES
C0020,customer,10.21.141.61,ip,CONNECTS_FROM
C0020,customer,M0023,merchant,PAYS
A0020,account,T000132,transaction,HAS_TRANSACTION
C0080,customer,A0080,account,OWNS
C0080,customer,D0080,device,USES
C0080,customer,10.81.161.41,ip,CONNECTS_FROM
C0080,customer,M0047,merchant,PAYS
A0080,account,T000133,transaction,HAS_TRANSACTION
C0036,customer,M0033,merchant,PAYS
A0036,account,T000134,transaction,HAS_TRANSACTION
C0084,customer,A0084,account,OWNS
C0084,customer,D0084,device,USES
C0084,customer,10.85.189.93,ip,CONNECTS_FROM
C0084,customer,M0023,merchant,PAYS
A0084,account,T000135,transaction,HAS_TRANSACTION
C0105,customer,M0045,merchant,PAYS
A0105,account,T000136,transaction,HAS_TRANSACTION
C0061,customer,A0061,account,OWNS
C0061,customer,D0061,device,USES
C0061,customer,10.62.28.194,ip,CONNECTS_FROM
C0061,customer,M0022,merchant,PAYS
A0061,account,T000137,transaction,HAS_TRANSACTION
C0121,customer,M0052,merchant,PAYS
A0121,account,T000138,transaction,HAS_TRANSACTION
C0096,customer,M0005,merchant,PAYS
A0096,account,T000139,transaction,HAS_TRANSACTION
C0038,customer,M0051,merchant,PAYS
A0038,account,T000140,transaction,HAS_TRANSACTION
C0090,customer,M0015,merchant,PAYS
A0090,account,T000141,transaction,HAS_TRANSACTION
C0079,customer,A0079,account,OWNS
C0079,customer,D0079,device,USES
C0079,customer,10.80.154.28,ip,CONNECTS_FROM
C0079,customer,M0036,merchant,PAYS
A0079,account,T000142,transaction,HAS_TRANSACTION
C0114,customer,A0114,account,OWNS
C0114,customer,D0114,device,USES
C0114,customer,10.115.199.83,ip,CONNECTS_FROM
C0114,customer,M0049,merchant,PAYS
A0114,account,T000143,transaction,HAS_TRANSACTION
C0079,customer,M0029,merchant,PAYS
A0079,account,T000144,transaction,HAS_TRANSACTION
C0013,customer,D0013,device,USES
C0013,customer,10.14.92.170,ip,CONNECTS_FROM
C0013,customer,M0006,merchant,PAYS
A0013,account,T000145,transaction,HAS_TRANSACTION
C0115,customer,M0031,merchant,PAYS
A0115,account,T000146,transaction,HAS_TRANSACTION
C0008,customer,D0008,device,USES
