customer_id,name,segment,home_country,created_at
C0080,Customer 0080,RETAIL,IN,2025-03-22T00:00:00
C0081,Customer 0081,RETAIL,IN,2025-03-23T00:00:00
C0082,Customer 0082,SME,IN,2025-03-24T00:00:00
C0083,Customer 0083,RETAIL,IN,2025-03-25T00:00:00
C0084,Customer 0084,RETAIL,IN,2025-03-26T00:00:00
C0085,Customer 0085,RETAIL,IN,2025-03-27T00:00:00
C0086,Customer 0086,SME,IN,2025-03-28T00:00:00
C0087,Customer 0087,RETAIL,IN,2025-03-29T00:00:00
C0088,Customer 0088,RETAIL,IN,2025-03-30T00:00:00
C0089,Customer 0089,RETAIL,IN,2025-03-31T00:00:00
C0090,Customer 0090,RETAIL,IN,2025-04-01T00:00:00
C0091,Customer 0091,RETAIL,IN,2025-04-02T00:00:00
C0092,Customer 0092,RETAIL,IN,2025-04-03T00:00:00
C0093,Customer 0093,RETAIL,IN,2025-04-04T00:00:00
C0094,Customer 0094,RETAIL,IN,2025-04-05T00:00:00
C0095,Customer 0095,RETAIL,IN,2025-04-06T00:00:00
C0096,Customer 0096,RETAIL,IN,2025-04-07T00:00:00
C0097,Customer 0097,RETAIL,IN,2025-04-08T00:00:00
C0098,Customer 0098,RETAIL,IN,2025-04-09T00:00:00
C0099,Customer 0099,PREMIUM,IN,2025-04-10T00:00:00
C0100,Customer 0100,PREMIUM,IN,2025-04-11T00:00:00
C0101,Customer 0101,RETAIL,IN,2025-04-12T00:00:00
C0102,Customer 0102,RETAIL,IN,2025-04-13T00:00:00
C0103,Customer 0103,PREMIUM,IN,2025-04-14T00:00:00
C0104,Customer 0104,SME,IN,2025-04-15T00:00:00
C0105,Customer 0105,RETAIL,IN,2025-04-16T00:00:00
C0106,Customer 0106,RETAIL,IN,2025-04-17T00:00:00
C0107,Customer 0107,RETAIL,IN,2025-04-18T00:00:00
C0108,Customer 0108,RETAIL,IN,2025-04-19T00:00:00
C0109,Customer 0109,PREMIUM,IN,2025-04-20T00:00:00
C0110,Customer 0110,RETAIL,IN,2025-04-21T00:00:00
C0111,Customer 0111,RETAIL,IN,2025-04-22T00:00:00
C0112,Customer 0112,RETAIL,IN,2025-04-23T00:00:00
C0113,Customer 0113,RETAIL,IN,2025-04-24T00:00:00
C0114,Customer 0114,RETAIL,IN,2025-04-25T00:00:00
C0115,Customer 0115,SME,IN,2025-04-26T00:00:00
C0116,Customer 0116,SME,IN,2025-04-27T00:00:00
C0117,Customer 0117,RETAIL,IN,2025-04-28T00:00:00
C0118,Customer 0118,RETAIL,IN,2025-04-29T00:00:00
C0119,Customer 0119,RETAIL,IN,2025-04-30T00:00:00
C0120,Customer 0120,RETAIL,IN,2025-05-01T00:00:00
C0121,Customer 0121,RETAIL,IN,2025-05-02T00:00:00
C0122,Customer 0122,RETAIL,IN,2025-05-03T00:00:00
C0123,Customer 0123,RETAIL,IN,2025-05-04T00:00:00
C0124,Customer 0124,RETAIL,IN,2025-05-05T00:00:00
